EPP,Partido Popular,People´s Party,PPopular,Madrid, Spain
EPP,Unió democràtica de Catalunya,Democratic Union of Catalonia,unio_cat,Barcelona, Spain
EPP,Moderata,Moderate party,nya_moderaterna,Stockholm, Sweden
EPP,kristdemokraterna,Christian democrats,kdriks,Stockholm, Sweden
EPP,EPP,European People´s Party ,EPPGroup,
ECR,LDD,Libertarian Direct Democratics,NO,Gent, Belgium
ECR,HSP,Croatian party of rights,HSPZagreb,Zagreb, Croatia
ECR,ODS,Civic democratic party,ODScz,Prague, Czech Republic
ECR,MoMa,Modern Hungary movement,moma_2014,Budapest, Hungary
ECR,Conservatori e Social Riformatori,Conservatives and socialreformists,movimentoCSR,Milan, Italy
ECR,TB/LNNK,For Fatherland and freedom,tblv,Riga, Latvia
ECR,LLRA,Electoral action of poles,NO,Vilnius, Lithuania
ECR,ChristenUnie,Christian Union,christenunie,Amersfoort, Netherlands
ECR,PiS,Law and Justice,kppis,Warsaw, Poland
ECR,Polska Razem,Poland Together,PolskaRazem,Warsaw, Poland
ECR,Conservative Party,Conservative Party,Conservatives,London, UK
ECR,UUP,Ulster Unionist Party,uuponline,Belfast, Northern Ireland
ECR,ECR,European Conservatives and reformist,ecrgroup,
EFD,Dansk Folkeparti,Danish People´s Party,DanskDf1995,Copenhagen, Denmark
EFD,Peruss,Finns party,VerkkomediaPS,Helsinki, Finland
EFD,Mouvement pour France,Movement for France,NO,Paris, France
EFD,LAOS,Popular Orthodox Rally,laos_Hellas,Athens, Greece
EFD,Lega Nord,North League,LegaNordPadania,Milan, Italy
EFD,Io amo lItalia,I love Italy,magdicristiano,Rome, Italy
EFD,Tvarka ir teisingumas,Order and Justice,NO,Vilnius, Lithuania
EFD,SGP,Reformed Political Party,SGPnieuws,Gouda, Netherlands
EFD,Solidarna Polska,United Poland,SolidarnaPL,Warsaw, Poland
EFD,SNR,Slovak National Party,NO,Bratislava, Slovak Republic
EFD,UKIP,United Kingdom Independece Party,UKIP,Devon, England
EFD,EFD,Europe for Freedom and Democracy ,EFDgroup,
EAF,FPO,Freedom paarty of Austria,NO,Vienna, Austria
EAF,Vlaams Belang,Flemish Interest,vlbelang,Brussels, Belgium
EAF,Front National,National Front,FN_officiel,Paris, France
EAF,Bürger in wut,Citizens in rage,BIWaktuell,Berlin, Germany
EAF,Sverigedemokraterna,Sweden democrats,sdriks,Stockholm, Sweden
EAF,EAF,European Alliance for Freedom,Eurallfree,
